frame,center_x,center_y,speed_m_s
0,461.5194396972656,324.2620544433594,0.0
1,459.70062255859375,324.4577941894531,43.85981
2,454.92449951171875,326.67547607421875,126.25481
3,454.8721008300781,326.6004943847656,2.193233
4,454.7950134277344,326.4850769042969,3.327719
5,454.8460998535156,326.5419616699219,1.8331391
6,454.84027099609375,326.44573974609375,2.3112483
7,454.6262512207031,326.1386413574219,8.974656
8,454.54278564453125,326.0367736816406,3.1575184
9,454.5179138183594,325.91156005859375,3.0607777
10,451.64569091796875,323.6011657714844,88.378845
11,451.3966064453125,326.3963623046875,67.283264
12,451.4999694824219,325.9318542480469,11.409456
13,452.4169006347656,325.7731018066406,22.311428
14,452.4351501464844,325.6542663574219,2.8826032
15,452.3223571777344,325.38818359375,6.929125
16,452.1724548339844,325.2551574707031,4.8051844
17,452.065673828125,325.219482421875,2.6992886
18,451.95880126953125,324.8675231933594,8.81904
19,451.959716796875,324.4784851074219,9.327613
20,444.930908203125,312.2641296386719,337.87878
21,444.36572265625,312.7690124511719,18.170305
22,444.1966857910156,312.283203125,12.332726
23,445.02874755859375,312.6962890625,22.272768
24,444.5276184082031,313.1627502441406,16.414675
25,444.4220275878906,313.3594665527344,5.352978
26,445.4281005859375,313.54278564453125,24.518797
27,444.91876220703125,313.491943359375,12.272598
28,444.8288269042969,313.2857666015625,5.393125
29,444.8575439453125,313.8578796386719,13.734265
30,445.73968505859375,313.29229736328125,25.12404
31,445.5322265625,313.060546875,7.457558
32,444.6463928222656,313.0052490234375,21.280113
33,442.66729736328125,313.8067932128906,51.194805
34,442.79583740234375,313.626708984375,5.304766
35,442.48931884765625,313.2782287597656,11.1273575
36,442.3356018066406,313.2705078125,3.6901696
37,442.03216552734375,313.0845642089844,8.532521
38,442.2928466796875,313.9693603515625,22.115448
39,442.46429443359375,313.6871643066406,7.916771
40,440.88128662109375,312.041015625,54.756325
41,441.8193054199219,312.1274108886719,22.585155
42,441.25830078125,312.895263671875,22.80023
43,440.86151123046875,312.7674865722656,9.994551
44,440.4437561035156,312.68505859375,10.209219
45,443.4503479003906,313.0118713378906,72.510735
46,445.45574951171875,313.8625793457031,52.228893
47,451.088134765625,317.337646484375,158.67683
48,451.32415771484375,317.3546142578125,5.6734967
49,451.3949890136719,318.3603210449219,24.17258
50,445.8020324707031,317.6400146484375,135.20438
51,446.2051086425781,318.04522705078125,13.703457
52,446.72003173828125,317.9686584472656,12.481555
53,448.35467529296875,318.0198669433594,39.211483
54,448.26422119140625,318.0318603515625,2.1877103
55,448.2948303222656,317.7994384765625,5.62067
56,448.24078369140625,317.8438415527344,1.6770661
57,448.1861572265625,317.8483581542969,1.3141947
58,448.8404846191406,317.9183349609375,15.777629
59,448.21600341796875,318.5868835449219,21.93425
60,445.8313293457031,314.62786865234375,110.81093
61,445.2251281738281,317.310791015625,65.94737
62,444.8973083496094,318.65472412109375,33.166927
63,444.8089599609375,318.5787353515625,2.7939765
64,445.41937255859375,318.5975341796875,14.642206
65,446.0062255859375,318.77667236328125,14.711338
66,445.9000549316406,318.82000732421875,2.7494268
67,445.7012634277344,318.76739501953125,4.930331
68,445.5658264160156,318.6143493652344,4.899925
69,444.52850341796875,318.64849853515625,24.884356
70,447.7304382324219,310.14031982421875,217.95972
71,449.7831726074219,312.86834716796875,81.85575
72,449.80218505859375,312.658203125,5.0589976
73,449.27392578125,315.157958984375,61.257866
74,449.09600830078125,315.1782531738281,4.293415
75,450.0461730957031,314.664794921875,25.894691
76,450.0065002441406,314.7002868652344,1.2762845
77,450.5508728027344,314.705322265625,13.052449
78,450.4764709472656,314.7364196777344,1.9334081
79,451.5615539550781,315.35931396484375,29.997852
80,446.5672607421875,306.2919006347656,248.19638
81,448.6977844238281,308.4516296386719,72.73695
82,448.84210205078125,312.01470947265625,85.498535
83,448.04400634765625,315.7788391113281,92.25515
84,447.9705810546875,315.73358154296875,2.067996
85,449.0939025878906,315.7182312011719,26.9353
86,449.05377197265625,315.7085266113281,0.98990655
87,448.1021423339844,316.1336364746094,24.989384
88,448.0550231933594,316.14825439453125,1.1828462
89,448.0435791015625,316.1257019042969,0.60635275
90,439.94769287109375,301.85107421875,393.4614
91,439.8009948730469,301.9175109863281,3.8611186
92,440.988525390625,301.9537048339844,28.485483
93,440.4804992675781,302.45416259765625,17.097923
94,440.3488464355469,302.417236328125,3.278323
95,440.1329040527344,302.4164733886719,5.177472
96,440.04052734375,302.44232177734375,2.299899
97,441.2322998046875,305.4330139160156,77.18851
98,444.3358459472656,306.51226806640625,78.78154
